,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
132,win,Bulldogs,Brisbane,29,22,22/07/2015,7,2005,16,5,8,10,7,5
133,win,North Queensland,Penrith,38,18,23/07/2015,7,2005,30,6,5,6,10,1
134,loose,Parramatta,Newcastle,10,16,23/07/2015,7,2005,10,8,4,10,13,5
135,win,Warriors,Canberra,24,16,23/07/2015,7,2005,12,10,6,6,2,4
136,win,Melbourne,Sydney,24,10,24/07/2015,7,2005,14,7,8,0,8,6
137,win,St George Illawarra,Cronulla,20,10,24/07/2015,7,2005,14,9,8,0,5,6
138,win,Wests Tigers,South Sydney,42,20,24/07/2015,7,2005,24,2,7,6,6,9
139,win,St George Illawarra,Sydney,44,6,29/07/2015,7,2005,6,5,5,6,1,2
140,win,Brisbane,Canberra,24,18,30/07/2015,7,2005,10,5,7,6,4,7
141,win,Newcastle,Melbourne,37,18,30/07/2015,7,2005,19,9,3,6,9,5
142,win,Penrith,Warriors,42,34,30/07/2015,7,2005,28,4,8,12,6,1
143,loose,Cronulla,Wests Tigers,6,46,31/07/2015,7,2005,6,8,3,12,6,7
144,loose,Manly Warringah,North Queensland,24,26,31/07/2015,7,2005,18,6,6,6,5,1
145,win,South Sydney,Bulldogs,37,24,31/07/2015,7,2005,18,7,2,12,6,5
146,loose,North Queensland,St George Illawarra,16,36,5/08/2015,8,2005,6,5,7,22,8,4
147,loose,Bulldogs,Newcastle,13,28,6/08/2015,8,2005,7,6,10,6,8,6
148,win,Cronulla,Melbourne,40,16,6/08/2015,8,2005,24,9,6,10,4,6
149,loose,Warriors,Parramatta,20,38,6/08/2015,8,2005,14,11,3,10,4,6
150,loose,Canberra,Wests Tigers,14,22,7/08/2015,8,2005,14,5,4,0,9,6
151,win,Manly Warringah,Brisbane,21,20,7/08/2015,8,2005,8,8,4,14,8,7
152,loose,Sydney,Penrith,28,30,7/08/2015,8,2005,12,8,6,22,8,6
153,win,Parramatta,Bulldogs,56,4,12/08/2015,8,2005,26,9,6,0,4,4
154,loose,Canberra,South Sydney,16,29,13/08/2015,8,2005,12,6,6,6,4,3
155,win,Melbourne,Warriors,22,10,13/08/2015,8,2005,10,3,6,4,7,6
156,win,Sydney,Cronulla,14,8,13/08/2015,8,2005,8,8,7,0,12,7
157,loose,Brisbane,St George Illawarra,4,24,14/08/2015,8,2005,0,7,4,6,10,6
158,win,Newcastle,Manly Warringah,22,14,14/08/2015,8,2005,8,5,6,14,8,5
159,win,Wests Tigers,North Queensland,28,16,14/08/2015,8,2005,18,7,5,4,12,3
160,win,Wests Tigers,Bulldogs,54,2,19/08/2015,8,2005,24,7,8,2,5,5
161,win,North Queensland,Canberra,31,28,20/08/2015,8,2005,12,9,7,14,5,5
162,win,South Sydney,Sydney,17,16,20/08/2015,8,2005,6,8,10,12,5,11
163,loose,Warriors,Newcastle,4,16,20/08/2015,8,2005,4,11,5,0,6,9
164,win,Cronulla,Manly Warringah,68,6,21/08/2015,8,2005,38,3,7,0,7,8
165,win,Penrith,Brisbane,22,20,21/08/2015,8,2005,14,5,6,8,10,5
166,win,St George Illawarra,Parramatta,25,22,21/08/2015,8,2005,19,6,6,6,5,6
167,loose,Brisbane,Sydney,10,17,26/08/2015,8,2005,4,10,6,4,9,7
168,loose,Manly Warringah,Warriors,20,22,27/08/2015,8,2005,10,7,5,18,6,2
169,win,Melbourne,Wests Tigers,34,22,27/08/2015,8,2005,18,8,4,6,9,5
170,win,Newcastle,Cronulla,44,14,27/08/2015,8,2005,34,10,8,0,6,6
171,loose,Bulldogs,Penrith,6,28,28/08/2015,8,2005,6,10,9,16,8,8
172,win,Parramatta,Canberra,48,10,28/08/2015,8,2005,6,8,8,10,7,2
174,win,Parramatta,Brisbane,28,14,2/09/2015,9,2005,6,6,5,14,9,3
175,loose,Canberra,Manly Warringah,18,36,3/09/2015,9,2005,6,6,6,24,4,14
176,loose,Cronulla,South Sydney,22,26,3/09/2015,9,2005,12,6,7,6,5,9
177,win,North Queensland,Melbourne,30,24,3/09/2015,9,2005,20,9,5,12,8,4
178,win,St George Illawarra,Newcastle,36,28,4/09/2015,9,2005,22,8,8,6,3,5
179,win,Sydney,Bulldogs,32,12,4/09/2015,9,2005,14,6,3,0,10,5
180,loose,Wests Tigers,Penrith,22,38,4/09/2015,9,2005,16,3,4,18,7,2
181,win,Wests Tigers,St George Illawarra,24,15,10/03/2015,3,2006,8,8,8,10,12,5
182,loose,Bulldogs,Penrith,22,24,11/03/2015,3,2006,10,5,5,14,13,9
183,loose,Manly Warringah,Canberra,14,27,11/03/2015,3,2006,8,4,12,14,10,8
184,win,Newcastle,Parramatta,25,6,11/03/2015,3,2006,8,9,9,6,5,7
185,loose,Brisbane,North Queensland,4,36,12/03/2015,3,2006,0,5,4,24,12,7
186,loose,South Sydney,Sydney,22,40,12/03/2015,3,2006,18,5,4,6,8,6
187,loose,Warriors,Melbourne,16,22,12/03/2015,3,2006,0,17,8,8,13,7
188,win,Bulldogs,Wests Tigers,47,12,17/03/2015,3,2006,24,4,12,0,4,8
189,loose,Cronulla,Brisbane,12,16,18/03/2015,3,2006,12,4,9,0,10,8
190,win,North Queensland,Manly Warringah,20,16,18/03/2015,3,2006,16,10,11,4,7,3
191,win,Parramatta,Warriors,22,14,18/03/2015,3,2006,10,8,5,8,12,5
192,loose,Canberra,Newcastle,32,70,19/03/2015,3,2006,8,5,5,34,5,6
193,loose,St George Illawarra,Penrith,12,13,19/03/2015,3,2006,2,11,13,2,11,9
