"","loose","win","Outcome","HomeTeam","AwayTeam","HomeScores","AwayScores","Date","Month","Year","HomeHalfScores","HomeScrums","HomePenalties","AwayHalfScores","AwayScrums","AwayPenalties"
"2029",0.362,0.638,"loose","St George Illawarra","South Sydney",0,0,2015-07-18,"7","2015",0,0,0,0,0,0
"2030",0.369,0.631,"win","Brisbane","Wests Tigers",0,0,2015-07-19,"7","2015",0,0,0,0,0,0
"2031",0.364,0.636,"win","Sydney","Warriors",0,0,2015-07-19,"7","2015",0,0,0,0,0,0
"2032",0.346,0.654,"loose","Manly Warringah","North Queensland",0,0,2015-07-20,"7","2015",0,0,0,0,0,0
"2033",0.343,0.657,"win","Brisbane","Gold Coast Titans",0,0,2015-07-24,"7","2015",0,0,0,0,0,0
"2034",0.392,0.608,"loose","Wests Tigers","Sydney",0,0,2015-07-24,"7","2015",0,0,0,0,0,0
"2035",0.36,0.64,"win","Melbourne","St George Illawarra",0,0,2015-07-25,"7","2015",0,0,0,0,0,0
"2036",0.414,0.586,"win","South Sydney","Newcastle",0,0,2015-07-25,"7","2015",0,0,0,0,0,0
"2037",0.416,0.584,"loose","Warriors","Manly Warringah",0,0,2015-07-25,"7","2015",0,0,0,0,0,0
"2038",0.344,0.656,"loose","Canterbury","Cronulla",0,0,2015-07-26,"7","2015",0,0,0,0,0,0
"2039",0.362,0.638,"loose","Penrith","Canberra",0,0,2015-07-26,"7","2015",0,0,0,0,0,0
"2040",0.362,0.638,"win","North Queensland","Parramatta",0,0,2015-07-27,"7","2015",0,0,0,0,0,0
"2041",0.389,0.611,"win","Sydney","Canterbury",0,0,2015-07-31,"7","2015",0,0,0,0,0,0
"2042",0.389,0.611,"win","Wests Tigers","Melbourne",0,0,2015-07-31,"7","2015",0,0,0,0,0,0
"2043",0.383,0.617,"win","Manly Warringah","Brisbane",0,0,2015-08-01,"8","2015",0,0,0,0,0,0
"2044",0.378,0.622,"win","North Queensland","Canberra",0,0,2015-08-01,"8","2015",0,0,0,0,0,0
"2045",0.365,0.635,"loose","Warriors","Cronulla",0,0,2015-08-01,"8","2015",0,0,0,0,0,0
"2046",0.386,0.614,"win","St George Illawarra","Newcastle",0,0,2015-08-02,"8","2015",0,0,0,0,0,0
"2047",0.407,0.593,"win","South Sydney","Penrith",0,0,2015-08-02,"8","2015",0,0,0,0,0,0
"2048",0.368,0.632,"win","Gold Coast Titans","Parramatta",0,0,2015-08-03,"8","2015",0,0,0,0,0,0
"2049",0.392,0.608,"loose","Brisbane","Canterbury",0,0,2015-08-07,"8","2015",0,0,0,0,0,0
"2050",0.371,0.629,"win","Manly Warringah","South Sydney",0,0,2015-08-07,"8","2015",0,0,0,0,0,0
"2051",0.368,0.632,"win","Cronulla","North Queensland",0,0,2015-08-08,"8","2015",0,0,0,0,0,0
"2052",0.404,0.596,"win","Parramatta","Penrith",0,0,2015-08-08,"8","2015",0,0,0,0,0,0
"2053",0.377,0.623,"loose","Warriors","St George Illawarra",0,0,2015-08-08,"8","2015",0,0,0,0,0,0
"2054",0.381,0.619,"win","Melbourne","Gold Coast Titans",0,0,2015-08-09,"8","2015",0,0,0,0,0,0
"2055",0.394,0.606,"loose","Newcastle","Sydney",0,0,2015-08-09,"8","2015",0,0,0,0,0,0
"2056",0.4,0.6,"loose","Canberra","Wests Tigers",0,0,2015-08-10,"8","2015",0,0,0,0,0,0
"2057",0.394,0.606,"loose","North Queensland","South Sydney",0,0,2015-08-13,"8","2015",0,0,0,0,0,0
"2058",0.35,0.65,"win","Brisbane","St George Illawarra",0,0,2015-08-14,"8","2015",0,0,0,0,0,0
"2059",0.404,0.596,"win","Penrith","Warriors",0,0,2015-08-15,"8","2015",0,0,0,0,0,0
"2060",0.348,0.652,"win","Sydney","Parramatta",0,0,2015-08-15,"8","2015",0,0,0,0,0,0
"2061",0.385,0.615,"loose","Wests Tigers","Newcastle",0,0,2015-08-15,"8","2015",0,0,0,0,0,0
